Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue
C596022,21730,GLASS STAR FROSTED T-LIGHT HOLDER,46.0,2011-08-27 16:04:36.733013,14.78,14738.0,United Kingdom,679.88
C593180,22752,SET 7 BABUSHKA NESTING BOXES,40.0,2011-03-24 03:43:21.784488,9.2,16936.0,United Kingdom,368.0
C565771,84029E,RED WOOLLY HOTTIE WHITE HEART,46.0,2011-11-25 00:49:41.939405,14.77,13836.0,United Kingdom,679.42
C532635,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,84.0,2010-11-26 17:09:16.642808,15.73,14559.0,France,1321.32
C593863,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,28.0,2011-06-15 19:16:46.333954,11.21,13568.0,United Kingdom,313.88
C544603,84406B,CREAM CUPID HEARTS COAT HANGER,87.0,2010-10-30 19:07:27.220315,12.93,14322.0,France,1124.91
C570821,22633,HAND WARMER UNION JACK,1.0,2011-04-18 15:01:13.065986,23.95,16720.0,Australia,23.95
C542350,22632,HAND WARMER RED POLKA DOT,9.0,2011-10-10 07:16:16.683988,4.46,12352.0,United Kingdom,40.14
C538297,21730,GLASS STAR FROSTED T-LIGHT HOLDER,22.0,2011-04-15 07:08:05.341700,22.14,17453.0,Germany,487.08000000000004
C518595,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,66.0,2010-11-09 04:53:15.136778,23.91,14009.0,Germany,1578.06
C562693,21730,GLASS STAR FROSTED T-LIGHT HOLDER,80.0,2011-03-14 02:19:46.704578,12.46,12927.0,Germany,996.8000000000001
C519612,84029E,RED WOOLLY HOTTIE WHITE HEART,70.0,2010-09-03 11:42:16.836944,1.37,14540.0,France,95.9
C505822,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,97.0,2011-10-23 14:48:47.581135,21.66,16483.0,United Kingdom,2101.02
C519305,71053,WHITE METAL LANTERN,19.0,2011-01-11 17:39:29.526424,15.44,12872.0,Netherlands,293.36
C598013,84406B,CREAM CUPID HEARTS COAT HANGER,33.0,2011-10-31 03:25:25.914305,22.2,15324.0,United Kingdom,732.6
C561382,85123A,WHITE HANGING HEART T-LIGHT HOLDER,74.0,2011-04-15 12:20:41.062849,14.58,12629.0,United Kingdom,1078.92
C580762,20719,WOODLAND CHARLOTTE BAG 16PE,65.0,2010-10-19 15:40:53.534660,3.15,14986.0,United Kingdom,204.75
C523719,22633,HAND WARMER UNION JACK,60.0,2010-07-16 05:03:08.136091,11.86,12029.0,United Kingdom,711.5999999999999
C557464,84029E,RED WOOLLY HOTTIE WHITE HEART,12.0,2010-11-22 19:22:33.662123,17.62,15782.0,Germany,211.44
C578462,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,68.0,2010-01-22 11:03:52.611040,14.79,13968.0,United Kingdom,1005.7199999999999
C597786,84029E,RED WOOLLY HOTTIE WHITE HEART,55.0,2011-09-09 01:02:32.838513,13.06,15580.0,United Kingdom,718.3000000000001
C530831,20719,WOODLAND CHARLOTTE BAG 16PE,5.0,2010-11-06 07:25:18.854789,1.58,17275.0,United Kingdom,7.9
C561385,22633,HAND WARMER UNION JACK,6.0,2010-09-02 21:48:41.580547,10.9,17867.0,United Kingdom,65.4
C596755,21730,GLASS STAR FROSTED T-LIGHT HOLDER,98.0,2010-07-12 14:13:12.783606,3.71,13343.0,Germany,363.58
C588738,71053,WHITE METAL LANTERN,7.0,2011-02-18 13:55:16.913422,3.77,16626.0,United Kingdom,26.39
